Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 83.06     18.04    18.04        1    18.04    21.67  Graph::kosaraju()
  4.65     19.05     1.01 800020000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  4.26     19.98     0.93 800040000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  2.90     20.61     0.63 400000000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
  2.49     21.14     0.54    20000     0.00     0.00  Graph::dfsTranspose(int, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
  1.68     21.51     0.36 400000000     0.00     0.00  std::vectorFlat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 83.06     18.04    18.04        1    18.04    21.67  Graph::kosaraju()
  4.65     19.05     1.01 800020000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  4.26     19.98     0.93 800040000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  2.90     20.61     0.63 400000000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
  2.49     21.14     0.54    20000     0.00     0.00  Graph::dfsTranspose(int, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
  1.68     21.51     0.36 400000000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.58     21.64     0.12        3     0.04     0.04  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector()
  0.25     21.69     0.06        1     0.06     0.06  std::allocator<bool>::allocator()
  0.05     21.70     0.01    60004     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.05     21.71     0.01    20000     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator*() const
  0.02     21.71     0.01    60002     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.02     21.72     0.01    60002     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00     21.72     0.00   212808     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     21.72     0.00   200004     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00     21.72     0.00   198305     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00     21.72     0.00   180098     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00     21.72     0.00   180016     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00     21.72     0.00   172778     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     21.72     0.00   172778     0.00     0.00  std::allocator<int>::~allocator()
  0.00     21.72     0.00   172770     0.00     0.00  operator new(unsigned long, void*)
  0.00     21.72     0.00   160004     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00     21.72     0.00   152775     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00     21.72     0.00   152775     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00     21.72     0.00   140067     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     21.72     0.00   132788     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     21.72     0.00   120054     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00     21.72     0.00   120007     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00     21.72     0.00   120004     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00     21.72     0.00   120004     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00     21.72     0.00   120001     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00     21.72     0.00   120001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00     21.72     0.00   120001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00     21.72     0.00   120001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00     21.72     0.00   120000     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00     21.72     0.00   119999     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00     21.72     0.00   119999     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00     21.72     0.00   119999     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00     21.72     0.00   119999     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00     21.72     0.00   112772     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     21.72     0.00   112772     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     21.72     0.00   112772     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     21.72     0.00   112772     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     21.72     0.00   112772     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     21.72     0.00   112772     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     21.72     0.00   100034     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     21.72     0.00   100000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00     21.72     0.00    80064     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00     21.72     0.00    80020     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00     21.72     0.00    80020     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
