Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.01     0.01   180002     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
 12.50      0.01     0.01   120000     0.00     0.00  std::_Bit_reference::operator bool() const
 12.50      0.02     0.01    90000     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
 12.50      0.03     0.01    60003     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::list()
 12.50      0.03     0.01    60003     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
 12.50      0.04     0.01    60000     0.00     0.00  std::_Bit_reference::operator=(bool)
 12.50      0.04     0.01                             std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_erase_at_end(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.04     0.00   450000     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.04     0.00   300000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.04     0.00   300000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.04     0.00   300000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.04     0.00   270002     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.04     0.00   242769     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.04     0.00   210001     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.04     0.00   210000     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.04     0.00   182767     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.04     0.00   180008     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.04     0.00   180002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.04     0.00   180002     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.04     0.00   180002     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.04     0.00   180001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.04     0.00   180000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.04     0.00   180000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.04     0.00   180000     0.00     0.00  std::_Bit_iterator::operator[](long) const
